Coin,sentiment_class,total_pnl,avg_pnl,win_rate,trade_count,volume
@1,Extreme Greed,495.667559,33.04450393333333,0.7333333333333333,15,1638.12
@1,Greed,1.078679000000001,0.359559666666667,0.6666666666666666,3,438.67
@10,Extreme Fear,-0.063484,-0.063484,0.0,1,21.12
@100,Extreme Greed,27.627142,13.813571,1.0,2,32.65
@103,Extreme Greed,34.063345,11.354448333333332,1.0,3,35.46
@103,Greed,4.494691,4.494691,1.0,1,4.54
@107,Extreme Fear,-136085.3683,-153.59522381489842,0.42437923250564336,886,1365581.24
@107,Extreme Greed,1988618.873872,313.6128172010724,0.921463491562845,6341,9713399.61
@107,Fear,-12514.843273999999,-4.215171193667901,0.7622094981475244,2969,3903019.54
@107,Greed,724342.30586,143.7757653552997,0.7649861055974593,5038,9113451.09
@107,Neutral,219551.950858,113.63972611697723,0.8737060041407867,1932,3399651.73
@109,Extreme Greed,2.727753,2.727753,1.0,1,2.74
@109,Greed,5410.846174,450.9038478333334,1.0,12,5430.19
@109,Neutral,0.510213,0.510213,1.0,1,119.1
@112,Extreme Greed,-66.44923299999999,-33.224616499999996,0.5,2,334.36
@112,Greed,14.334509,14.334509,1.0,1,14.44
@113,Extreme Greed,15.495707,15.495707,1.0,1,15.73
@113,Greed,1.430513,1.430513,1.0,1,1.47
@114,Greed,1.309077,1.309077,1.0,1,1.32
@116,Extreme Greed,0.249717,0.249717,1.0,1,0.26
@116,Greed,1.473232,1.473232,1.0,1,1.49
@117,Greed,4.631689,4.631689,1.0,1,4.69
@124,Extreme Greed,-128.603876,-25.720775200000002,0.0,5,522.23
@125,Extreme Greed,474.640081,47.4640081,0.7,10,2798.57
@125,Greed,-104.37551400000001,-26.093878500000002,0.5,4,247.4
@13,Extreme Fear,-0.12379,-0.12379,0.0,1,41.38
@135,Extreme Greed,-5981.36399,-5981.36399,0.0,1,15.56
@138,Fear,31.42038,15.71019,1.0,2,58.76
@138,Neutral,19.530304,9.765152,1.0,2,50.78
@142,Extreme Fear,1257.8761650000001,26.205753437500004,0.9375,48,93970.29000000001
@142,Fear,461.1217320000001,4.044927473684211,0.4824561403508772,114,484319.96
@142,Greed,1115.493744,12.821767172413795,1.0,87,159777.51
@142,Neutral,4615.868031,52.45304580681818,0.9659090909090909,88,319631.03
@147,Greed,-350.632694,-70.1265388,0.0,5,612.5600000000001
@151,Fear,-44.712482,-3.726040166666667,0.6666666666666666,12,10215.81
@151,Greed,11628.555251,40.237215401384084,1.0,289,540375.32
@152,Fear,0.599998,0.006818159090909091,1.0,88,59831.5
@153,Fear,0.577077,0.020609892857142854,1.0,28,57561.61
@153,Greed,34.63999,0.47452041095890407,1.0,73,60351.3
@16,Extreme Fear,-0.060429,-0.060429,0.0,1,25.56
@2,Extreme Greed,-0.907946,-0.907946,0.0,1,499.46
@20,Neutral,4.738088,2.369044,1.0,2,50.0
@24,Extreme Greed,-0.002936,-0.002936,0.0,1,1.0
@26,Extreme Fear,-0.25801799999999997,-0.03685971428571428,0.0,7,21.44
@29,Extreme Fear,-0.078374,-0.026124666666666668,0.0,3,16.19
@3,Neutral,0.462514,0.231257,1.0,2,33.65
@31,Extreme Greed,33.212273,33.212273,1.0,1,33.61
@33,Extreme Greed,13.566929,6.7834645,1.0,2,15.14
@35,Extreme Fear,67.028127,33.5140635,1.0,2,68.21000000000001
@36,Extreme Greed,15.663073,15.663073,1.0,1,16.09
@37,Extreme Greed,288.682161,57.7364322,0.8,5,1042.0500000000002
@37,Greed,10.17704,10.17704,1.0,1,10.89
@38,Extreme Fear,33.271993,33.271993,1.0,1,33.36
@39,Extreme Fear,12.238556,12.238556,1.0,1,12.57
@4,Extreme Fear,-1104.856765,-29.07517802631579,0.0,38,4056.43
@4,Extreme Greed,231.793541,19.31612841666667,0.9166666666666666,12,843.89
@4,Fear,1630.965841,22.971349873239436,1.0,71,14038.01
@4,Neutral,-853.866594,-6.05579144680851,0.04964539007092199,141,13366.82
@40,Extreme Fear,16.748319,16.748319,1.0,1,17.58
@40,Extreme Greed,-4.598636,-1.5328786666666667,0.3333333333333333,3,195.87
@41,Extreme Fear,36.73844,36.73844,1.0,1,37.23
@47,Extreme Fear,50.313458,25.156729,1.0,2,51.099999999999994
@49,Extreme Fear,-40.712216999999995,-13.570738999999998,0.0,3,459.27
@51,Extreme Greed,-5.320433,-5.320433,0.0,1,24.24
@51,Fear,-288.283113,-288.283113,0.0,1,211.7
@51,Greed,-37.27303,-37.27303,0.0,1,12.02
@53,Extreme Greed,32.544379,32.544379,1.0,1,33.74
@53,Greed,35.320328,35.320328,1.0,1,36.03
@59,Extreme Greed,804.909547,268.3031823333333,1.0,3,2098.86
@59,Greed,1752.19606,350.439212,1.0,5,5211.83
@63,Greed,-20.663546,-20.663546,0.0,1,9.91
@74,Extreme Greed,371.633249,74.3266498,1.0,5,372.73
@8,Extreme Fear,51.56325,10.31265,1.0,5,449.94
@8,Extreme Greed,-0.58755,-0.293775,0.0,2,197.9
@8,Fear,111.74482900000001,22.348965800000002,1.0,5,749.87
@83,Greed,-42.843649,-8.5687298,0.0,5,122.64
@83,Neutral,-1044.789706,-348.26323533333334,0.0,3,49.07
@85,Extreme Greed,18968.24494,729.5478823076924,1.0,26,22175.920000000002
@85,Greed,7537.895069,443.40559229411764,1.0,17,9414.39
@9,Extreme Greed,-58.564889,-58.564889,0.0,1,91.55
@93,Greed,15.954796,15.954796,1.0,1,16.33
@95,Extreme Greed,-29.438061,-29.438061,0.0,1,45.67
AAVE,Extreme Greed,9470.997255,86.09997504545454,0.8909090909090909,110,282469.14
AAVE,Fear,3163.387833,58.58125616666666,0.9814814814814815,54,62769.35
AAVE,Greed,478.609638,11.67340580487805,0.8536585365853658,41,57248.840000000004
AAVE,Neutral,-5627.986742,-234.49944758333334,0.125,24,149617.6
ACE,Extreme Greed,2760.71491,120.03108304347826,1.0,23,37392.21
ADA,Extreme Fear,-31317.986797999998,-333.1700723191489,0.010638297872340425,94,310849.84
ADA,Extreme Greed,1465.555881,12.01275312295082,0.7540983606557377,122,73099.92
ADA,Fear,1700.115697,26.985963444444444,0.873015873015873,63,229936.91
ADA,Greed,18.95475,6.31825,1.0,3,319.41
ADA,Neutral,19.898500000000002,3.9797000000000002,1.0,5,1317.79
AI,Extreme Greed,-1.6382960000000002,-0.40957400000000005,0.75,4,751.14
AI,Fear,37.269836,2.4846557333333332,1.0,15,4905.49
AI,Greed,59.194616,5.9194616,1.0,10,2541.35
AI16Z,Extreme Fear,1782.014616,198.001624,1.0,9,16228.97
AI16Z,Extreme Greed,2290.981693,13.718453251497007,0.8982035928143712,167,109214.68
AI16Z,Fear,1957.792621,108.76625672222222,0.8888888888888888,18,14554.88
AI16Z,Greed,3114.182332,38.446695456790124,0.9753086419753086,81,77821.48
AI16Z,Neutral,-1120.618594,-14.007732425,0.475,80,95072.52
AIXBT,Extreme Greed,1261.506036,14.335295863636363,1.0,88,29937.36
AIXBT,Fear,10367.247059,121.96761245882352,0.9058823529411765,85,174710.24
AIXBT,Greed,40092.549106,226.5115768700565,0.9717514124293786,177,280905.11
AIXBT,Neutral,21990.866694,152.71435204166667,0.9652777777777778,144,182982.01
ALGO,Extreme Greed,14.60512,7.30256,1.0,2,207.29
ALGO,Greed,-0.2484,-0.2484,0.0,1,1499.38
ALGO,Neutral,4.0068,4.0068,1.0,1,217.95
ALT,Extreme Greed,708.6507389999999,18.170531769230767,0.5128205128205128,39,74827.63
ALT,Fear,1040.606145,25.380637682926828,1.0,41,48907.79
ALT,Greed,1797.45392,34.56642153846154,1.0,52,43732.14
ALT,Neutral,2323.99174,47.428402857142856,1.0,49,62741.55
ANIME,Extreme Fear,12.67558,12.67558,1.0,1,209.31
ANIME,Extreme Greed,21215.967868,84.19034868253968,0.8214285714285714,252,296665.86
ANIME,Fear,47.24989,9.449978,0.8,5,1479.19
ANIME,Greed,120.29581200000001,60.147906000000006,1.0,2,1545.3899999999999
ANIME,Neutral,-78.931119,-19.73277975,0.25,4,1743.13
APE,Extreme Fear,7.764197,2.5880656666666666,1.0,3,492.11
APE,Extreme Greed,5772.692232,56.595021882352945,0.9313725490196079,102,182404.63
APE,Fear,195.568863,10.864936833333333,1.0,18,15982.98
APE,Greed,3618.60491,38.90973021505376,0.978494623655914,93,119348.81999999999
APE,Neutral,136.779738,5.47118952,0.96,25,5801.78
APT,Extreme Greed,247.037265,24.7037265,1.0,10,33374.96
APT,Fear,1496.438346,71.25896885714285,1.0,21,47535.66
APT,Neutral,5.714354,5.714354,1.0,1,216.18
AR,Extreme Greed,203.38219999999998,18.489290909090908,1.0,11,5053.25
ARB,Extreme Fear,148.265679,18.533209875,1.0,8,5470.6
ARB,Extreme Greed,124.514624,11.319511272727272,0.8181818181818182,11,31267.239999999998
ARB,Fear,8768.017658,4384.008829,1.0,2,3863.48
ARB,Greed,511.345086,25.5672543,1.0,20,90883.47
ARB,Neutral,82.437013,16.4874026,0.8,5,2581.34
ARK,Extreme Greed,26.13828,6.53457,1.0,4,276.43
ARK,Fear,27.146758000000002,1.3573379,0.7,20,4571.3
ARK,Greed,-26.09575,-13.047875,0.0,2,247.8
ATOM,Extreme Greed,88.081144,2.2584908717948715,0.8717948717948718,39,3567.01
ATOM,Neutral,0.15312,0.15312,1.0,1,221.8
AVAX,Extreme Fear,433.644636,18.854114608695653,1.0,23,72335.91
AVAX,Extreme Greed,140.596871,3.429191975609756,0.975609756097561,41,3175.15
AVAX,Fear,186.450938,15.537578166666668,0.75,12,22142.82
AVAX,Greed,12096.549815,1512.068726875,1.0,8,27843.34
AVAX,Neutral,35440.071585,1687.6224564285712,1.0,21,29062.870000000003
BABY,Fear,98.7298,49.3649,1.0,2,2001.0300000000002
BADGER,Extreme Greed,0.309638,0.309638,1.0,1,103.16
BADGER,Greed,1439.423595,19.991994375,0.8472222222222222,72,76035.0
BANANA,Greed,-81.48518800000001,-16.297037600000003,0.0,5,580.01
BERA,Extreme Fear,12090.904233,134.34338036666665,0.9777777777777777,90,148428.27
BERA,Fear,-27.646403999999986,-0.26329908571428556,0.5142857142857142,105,150970.71
BERA,Greed,83243.565498,229.32111707438017,1.0,363,526836.63
BERA,Neutral,-21617.07674,-423.86424980392155,0.7647058823529411,51,364449.14
BIGTIME,Extreme Greed,1567.72619,55.99022107142857,1.0,28,33567.81
BIGTIME,Greed,272.01318000000003,38.85902571428572,0.5714285714285714,7,27285.8
BIGTIME,Neutral,-1.1952,-1.1952,0.0,1,223.09
BIO,Extreme Greed,19.87315,6.624383333333333,1.0,3,349.45000000000005
BIO,Greed,1278.639104,8.196404512820513,0.8205128205128205,156,75294.65
BLAST,Extreme Greed,495.331904,29.137170823529413,1.0,17,10149.63
BLAST,Greed,135.989017,33.99725425,1.0,4,528.43
BLAST,Neutral,1.065303,1.065303,1.0,1,220.86
BLUR,Extreme Greed,236.564348,7.8854782666666665,0.9333333333333333,30,37458.08
BLUR,Fear,31.847859999999997,15.923929999999999,1.0,2,1077.96
BLUR,Greed,3057.18593,117.58407423076923,1.0,26,54020.99
BLUR,Neutral,27.531007,9.177002333333332,1.0,3,527.06
BNB,Extreme Fear,503.31943,125.8298575,1.0,4,50520.34
BNB,Extreme Greed,23.963942,4.7927884,1.0,5,4583.24
BNB,Fear,-737.08169,-21.678873235294116,0.7352941176470589,34,31788.21
BNB,Greed,6.476289999999996,0.28157782608695636,0.5217391304347826,23,110657.41
BNB,Neutral,506.52299999999997,36.180214285714285,1.0,14,9351.37
BNT,Extreme Greed,-17.60528,-2.51504,0.2857142857142857,7,2905.4
BOME,Extreme Greed,21.37104,21.37104,1.0,1,200.57
BOME,Neutral,-9.122938,-4.561469,0.5,2,452.98
BRETT,Extreme Greed,949.793863,9.045655838095238,0.7619047619047619,105,72483.02
BRETT,Greed,5.6384,5.6384,1.0,1,216.36
BRETT,Neutral,2.8551,2.8551,1.0,1,219.0
BTC,Extreme Fear,3056.840312999999,4.582968985007494,0.8140929535232384,667,17389373.5
BTC,Extreme Greed,100882.711093,103.04669161695608,0.8457609805924413,979,21736656.48
BTC,Fear,482649.644056,111.15837034914786,0.8763242745278673,4342,148805903.69
BTC,Greed,115475.191549,35.984790136802744,0.7494546587722032,3209,75713479.68
BTC,Neutral,165980.345627,91.60063224448123,0.8625827814569537,1812,57382016.46
CAKE,Extreme Greed,428.564024,35.71366866666667,1.0,12,9346.82
CAKE,Neutral,594.282727,31.278038263157896,0.47368421052631576,19,10013.09
CANTO,Greed,-188.49813000000003,-37.69962600000001,0.0,5,9971.880000000001
CHILLGUY,Extreme Greed,4621.293605,37.268496814516126,0.8870967741935484,124,131794.83
CHILLGUY,Fear,27.087155,13.5435775,1.0,2,748.8100000000001
CHILLGUY,Greed,17.544985999999998,3.5089971999999996,0.8,5,1926.1399999999999
CHILLGUY,Neutral,61.86884,15.46721,1.0,4,603.5
COMP,Extreme Greed,1479.9831900000001,23.870696612903227,0.8548387096774194,62,52224.13
COMP,Fear,1334.414834,333.6037085,1.0,4,6035.9
CRV,Fear,-50.098479,-0.8637668793103448,0.7758620689655172,58,21557.33
CRV,Greed,-1199.624026,-399.8746753333333,0.0,3,38802.630000000005
CYBER,Extreme Greed,191.5296,191.5296,1.0,1,691.62
DOGE,Extreme Greed,20799.015496,72.21880380555555,0.8611111111111112,288,752735.18
DOGE,Fear,7907.371107,1317.8951845,1.0,6,14020.95
DOGE,Greed,3027.3036439999996,20.317474120805368,0.8859060402684564,149,251287.16
DOGE,Neutral,115809.466287,7238.0916429375,1.0,16,145528.17
DOT,Extreme Greed,84.719249,3.137749962962963,1.0,27,1972.79
DOT,Greed,99.633834,5.535213,0.7777777777777778,18,59248.88
DOT,Neutral,9.13481,4.567405,1.0,2,433.87
DYDX,Extreme Greed,468.514928,26.02860711111111,1.0,18,15623.23
