feature,importance
sentiment_score,0.19465832863735844
hour,0.1360593662841801
Size USD,0.07558526490476766
day_of_week_Wednesday,0.05483338427772739
trade_direction_Short,0.05317247952239302
Coin_POPCAT,0.04447985305192683
trade_direction_Long,0.03869342474182825
Coin_kPEPE,0.033727855190864624
Coin_kBONK,0.029318668092431433
day_of_week_Friday,0.02571274115507708
Coin_PAXG,0.025553609016990223
day_of_week_Thursday,0.022325865727794426
Coin_ETH,0.01950741697268531
Coin_ZRO,0.018432453778701553
day_of_week_Tuesday,0.018068480878055987
leverage,0.015831689954854813
Coin_HYPE,0.0158013099367682
day_of_week_Monday,0.015392252524704726
Coin_@4,0.01233907704745823
day_of_week_Sunday,0.010687295041863403
Coin_NIL,0.010247828320625003
Coin_FARTCOIN,0.009773110941562352
Coin_@107,0.009627995618967286
day_of_week_Saturday,0.00957050057512631
Coin_BTC,0.008092123677703398
Coin_TRUMP,0.007622346677552549
Coin_XRP,0.007184661480214216
Coin_MELANIA,0.006832741232038544
Coin_S,0.0063371980141979515
Coin_SOL,0.00581826432376501
Coin_PENGU,0.005166980433865538
Coin_ADA,0.004543833989721412
Coin_PURR/USDC,0.00348587896861087
Coin_USUAL,0.0029638034632856825
Coin_KAITO,0.0028896274600247883
Coin_AI16Z,0.0025817636751122343
Coin_IO,0.0015870792325109434
Coin_BERA,0.0015591562135897788
Coin_ZEREBRO,0.0014280729164566192
Coin_@151,0.0014102702472662118
Coin_ONDO,0.0013478902278256306
Coin_PROMPT,0.001336241295841048
Coin_PURR,0.00132049094996487
Coin_TST,0.0012113541822219279
Coin_BRETT,0.0011425702490735195
Coin_TAO,0.0011357751257015402
Coin_PNUT,0.0010275173523389023
Coin_FXS,0.0009763991611709691
Coin_TON,0.0007829813485403139
Coin_SUI,0.000745503539658117
Coin_ENA,0.0007001789822929227
Coin_WLD,0.0006842440038345643
Coin_OGN,0.0006784545948321427
Coin_AIXBT,0.0006685453513501726
Coin_DOGE,0.0006231315367010415
Coin_AAVE,0.0005921871670202388
Coin_STRK,0.0005778230155185738
Coin_ALT,0.0005678666459970127
Coin_TIA,0.0005593728336676031
Coin_RUNE,0.0005524931595349441
Coin_CANTO,0.0005328167366964428
Coin_@142,0.0005283806120425851
Coin_GRASS,0.0005172200993684717
Coin_ILV,0.0005167396229292362
Coin_ME,0.000486644523667021
Coin_FTT,0.0004548499994117664
Coin_ANIME,0.0004354021361269555
Coin_JELLY,0.00041652018022429336
Coin_MAVIA,0.00040369305032059806
Coin_APE,0.00039264115527618335
Coin_GRIFFAIN,0.0003580610064921598
Coin_BIO,0.00035436329548997495
Coin_LAYER,0.00032790152689798983
Coin_@26,0.00032408850547682814
Coin_CRV,0.00031527581227891227
Coin_ZEN,0.00026482933535896034
Coin_ZORA,0.00024478861505682265
Coin_IP,0.00024263383601299006
Coin_ZETA,0.00023862827843976623
Coin_NEAR,0.0002336073564279126
Coin_HBAR,0.0002273200462915898
Coin_JUP,0.0002187240254067801
Coin_VINE,0.00021579418278642356
Coin_CHILLGUY,0.00020855689669046237
Coin_WIF,0.00020101631697454222
Coin_@124,0.00019306310243480688
Coin_AVAX,0.0001925476579710464
Coin_HPOS,0.00018303219494624257
Coin_@51,0.00018203372544142984
Coin_@147,0.00018059604780667416
Coin_@152,0.0001658527357734782
Coin_MATIC,0.0001633913977706721
Coin_TRX,0.00015772822366970837
Coin_BNB,0.00015673752694254532
Coin_W,0.00015168477221005452
